Run,Level,Steps,SolutionObjects,Mirrors,Refractors,RuleTransitions,Decoys,TotalObjects,GridWidth,GridHeight,Cl,Ch,Ci,MID,Solved,SolvePhase,SearchNodes,SearchTimeMs,TotalPlacements,InPlaceRotations,Relocations,ExecutionTimeMs,SweepIterations,SweepRelocations,SolveTimeMs,GenerationTimeMs
142,80,7,6,2,4,3,2,8,16,16,0.0234,0.6000,0.6667,0.3251,1,Sweep-S1,27,12.45,1,1,0,6928.47,10,0,7241.70,11.23
143,81,8,4,1,3,2,2,6,16,16,0.0156,0.6667,0.7500,0.3578,0,Sweep,98,14.89,1,0,1,17392.09,97,0,17711.67,11.72
144,81,9,7,3,4,5,2,9,16,16,0.0273,0.8333,0.5714,0.3780,0,Sweep,858,16227.54,1,0,1,17879.64,153,1,34408.20,11.47
145,81,2,1,1,0,0,3,4,16,16,0.0039,0.0000,0.0000,0.0020,1,Trivial,0,0.00,0,0,0,0.00,0,0,311.04,10.74
146,82,3,2,2,0,0,3,5,16,16,0.0078,0.0000,0.0000,0.0039,1,Sweep-S1,19,13.18,1,1,0,6287.35,18,0,6613.04,15.87
147,83,4,3,1,2,1,3,6,16,16,0.0117,0.5000,0.6667,0.2892,1,1B,1,13.43,1,0,1,6586.67,0,0,7209.96,11.72
148,84,5,4,0,4,0,3,7,16,16,0.0156,0.0000,1.0000,0.2078,1,Sweep-S1,65713,5027.34,6,6,0,28112.06,22,0,33446.29,11.23
149,85,6,5,2,3,3,3,8,16,16,0.0195,0.7500,0.6000,0.3548,0,Sweep,1234,82.28,7,7,0,45051.76,120,0,45434.33,10.99
150,85,7,6,3,3,2,3,9,16,16,0.0234,0.4000,0.5000,0.2317,1,Trivial,0,0.00,0,0,0,0.00,0,0,308.11,10.99
151,86,8,7,4,3,4,3,10,16,16,0.0273,0.6667,0.4286,0.2994,0,Sweep,276200,8013.18,0,0,0,10295.65,105,0,18612.30,10.99
152,86,9,7,7,0,0,3,10,16,16,0.0273,0.0000,0.0000,0.0137,0,Sweep,37084,2550.54,4,4,0,31502.69,154,0,34357.18,15.38
153,86,2,1,1,0,0,4,5,16,16,0.0039,0.0000,0.0000,0.0020,1,Sweep-S1,5,13.18,2,2,0,9645.02,4,0,9962.65,10.74
154,87,3,2,2,0,0,4,6,16,16,0.0078,0.0000,0.0000,0.0039,0,Sweep,782,11307.13,1,0,1,7373.05,77,1,18988.28,10.74
155,87,4,3,2,1,2,4,7,16,16,0.0117,1.0000,0.3333,0.3725,1,Sweep-S2,708,16685.79,1,0,1,3479.74,3,1,20466.06,10.50
156,88,5,3,2,1,1,4,7,16,16,0.0117,0.5000,0.3333,0.2225,1,Sweep-S1,8,20.26,1,0,1,8293.95,7,0,8629.88,11.96
157,89,6,4,0,4,0,4,8,16,16,0.0156,0.0000,1.0000,0.2078,0,Sweep,249200,8004.40,0,0,0,7953.37,82,0,16260.50,10.99
158,89,7,5,2,3,2,4,9,16,16,0.0195,0.5000,0.6000,0.2798,1,Sweep-S1,37,24.66,5,5,0,31948.49,28,0,32278.32,11.47
159,90,8,7,4,3,4,4,11,16,16,0.0273,0.6667,0.4286,0.2994,1,Sweep-S1,229800,8011.96,0,0,0,6432.37,62,0,14754.88,11.23
160,91,9,5,4,1,1,4,9,16,16,0.0195,0.2500,0.2000,0.1248,1,1B,1,13.18,1,0,1,9093.26,0,0,9714.11,11.23
